image_path,dataset_name,ground_truth,chi2_score
100k/val/b1c66a42-6f7d68ca.jpg,bdd100k_val,ID,29.439737950580355
100k/val/b1c81faa-3df17267.jpg,bdd100k_val,ID,44.46636809737301
100k/val/b1c81faa-c80764c5.jpg,bdd100k_val,ID,48.232671603582304
100k/val/b1c9c847-3bda4659.jpg,bdd100k_val,ID,7.487010553903302
100k/val/b1ca2e5d-84cf9134.jpg,bdd100k_val,ID,16.456331340310737
100k/val/b1ca8418-84a133a0.jpg,bdd100k_val,ID,49.27506732122951
100k/val/b1cac6a7-04e33135.jpg,bdd100k_val,ID,6.44671480668177
100k/val/b1cd1e94-26dd524f.jpg,bdd100k_val,ID,50.41608312007741
100k/val/b1cd1e94-549d0bfe.jpg,bdd100k_val,ID,15.967374303018348
100k/val/b1ceb32e-3f481b43.jpg,bdd100k_val,ID,33.30224254616398
100k/val/b1ceb32e-51852abe.jpg,bdd100k_val,ID,17.38741732407519
100k/val/b1ceb32e-813f84b2.jpg,bdd100k_val,ID,49.167054736923205
100k/val/b1ceb32e-a106591d.jpg,bdd100k_val,ID,10.97079577517199
100k/val/b1cebfb7-284f5117.jpg,bdd100k_val,ID,8.581331607294922
100k/val/b1d0091f-75824d0d.jpg,bdd100k_val,ID,14.305229325951279
100k/val/b1d0091f-f2c2d2ae.jpg,bdd100k_val,ID,21.56061204280156
100k/val/b1d0a191-03dcecc2.jpg,bdd100k_val,ID,6.468167030989199
100k/val/b1d0a191-06deb55d.jpg,bdd100k_val,ID,11.665503613881201
100k/val/b1d0a191-28f0e779.jpg,bdd100k_val,ID,7.893868886906252
100k/val/b1d0a191-2ed2269e.jpg,bdd100k_val,ID,10.111910461672526
100k/val/b1d0a191-5490450b.jpg,bdd100k_val,ID,9.37503954968015
100k/val/b1d0a191-65deaeef.jpg,bdd100k_val,ID,6.514718458508503
100k/val/b1d0a191-de8948f6.jpg,bdd100k_val,ID,21.555570660330275
100k/val/b1d10d08-5b108225.jpg,bdd100k_val,ID,17.80872312091796
100k/val/b1d10d08-743fd86c.jpg,bdd100k_val,ID,9.5226161443717
100k/val/b1d10d08-c35503b8.jpg,bdd100k_val,ID,23.680499737301965
